symbol,r2,sum,sq_sum,res,cnt
300200.SZ,0.122372,-220.503,5912,5185.03,12168
300788.SZ,0.0172211,-430.271,9035.22,8845.76,5373
002955.SZ,0.000617351,-184.254,1022.43,1015.73,5584
300211.SZ,0.182216,-238.441,4771.51,3894.02,5777
300698.SZ,0.109891,-286.656,5179.69,4596.37,5180
300679.SZ,0.245694,-15.1576,3976.4,2999.4,7420
300157.SZ,0.206082,-168.798,22409.5,17789,9866
300196.SZ,0.0754241,369.05,14129.2,13049,8684
300068.SZ,0.175365,1228.37,17520.8,14377.8,17652
300269.SZ,0.162519,-17.6228,12509,10476,6707
300816.SZ,0.0842008,9.37545,12150.5,11127.4,7254
300720.SZ,0.114865,159.536,3826.99,3381.39,3742
002880.SZ,0.215034,-179.108,3963.5,3108.05,7966
002868.SZ,0.23763,-254.047,4604.55,3499.69,4605
300064.SZ,0.121362,974.499,23537,20574.4,7859
000048.SZ,0.174122,-272.659,12560.1,10363.4,6318
002937.SZ,0.125042,-452.709,3337.57,2896.09,7425
002691.SZ,-0.0355069,253.862,6359.82,6569.61,4164
300011.SZ,0.120686,268.781,4772.18,4184.96,5630
300270.SZ,0.211993,967.021,7791.37,6045.89,7859
002622.SZ,0.110842,1236.83,54036.4,47970.6,17823
300707.SZ,0.182611,-17.0664,6516.18,5326.22,6369
300577.SZ,0.194637,213.148,23936.1,19273.5,9879
300021.SZ,0.173011,-146.516,2771.73,2289.58,6796
300650.SZ,0.164918,649.043,13820.4,11485.2,6286
002906.SZ,0.106119,-1056.56,67584.8,60345.7,14883
002888.SZ,0.23081,93.2482,7295.99,5610.71,5192
002952.SZ,0.0813535,-55.4032,1245.49,1143.48,4109
002861.SZ,0.236832,8.10939,4254.47,3246.87,6364
002865.SZ,0.186494,631.767,8836.95,7148.16,7968
002781.SZ,0.0738971,-56.5791,2665.93,2467.95,3053
002870.SZ,0.199693,170.646,3183.41,2542.64,4604
300768.SZ,0.206739,-306.038,18403,14590.7,9649
002824.SZ,0.264913,1178.42,34684.7,25402.5,10887
002843.SZ,0.140529,195.832,4763.13,4087.23,5040
002820.SZ,0.0672796,-52.4763,2884.9,2690.26,4717
002774.SZ,0.21038,-44.1652,4140.73,3269.26,4527
002899.SZ,0.0222833,93.2546,2163.31,2113.35,4853
002775.SZ,0.00379471,79.2438,1896.67,1887.85,3851
002393.SZ,0.281347,-263.891,3391.97,2428.86,5698
002892.SZ,-0.0992896,-211.988,1563.13,1708.15,4851
300100.SZ,0.169517,227.766,10870.3,9022.07,7796
002760.SZ,0.114201,-29.2304,1742.23,1543.03,3106
000949.SZ,0.204839,-220.91,4384.5,3480.99,7191
002694.SZ,0.0836985,-19.2662,7428.87,6807.03,6581
300234.SZ,-0.0515016,-242.722,5146.93,5404.57,8333
300268.SZ,0.154647,-165.984,2794.13,2356.13,3950
002885.SZ,0.0370363,106.517,2703.09,2601.17,6045
002612.SZ,0.167936,1023.4,8203.8,6699.69,6895
002251.SZ,0.264774,-15.4443,8308.54,6108.63,9166
300162.SZ,0.109636,191.949,5261.72,4680.25,7141
002611.SZ,0.242049,-1121.56,11930.2,8959.49,11485
300557.SZ,0.175113,23.9123,5399.82,4454.16,5633
300414.SZ,0.0789263,101.559,11689.7,10766.3,11920
002117.SZ,0.257171,-90.732,9397.38,6980.12,11598
002860.SZ,-0.0240472,-64.2056,3260.88,3338.53,5481
002589.SZ,0.189,-383.392,6999.47,5667.73,13479
000561.SZ,0.0454078,-199.134,10809.8,10316.1,13073
300605.SZ,0.249146,120.138,7214.32,5415.33,6896
300515.SZ,0.190991,-89.434,5078.08,4107.14,6066
002435.SZ,0.0285191,375.559,9881.38,9583.84,8711
002936.SZ,0.276052,-223.362,3674.81,2656.32,8922
002173.SZ,0.246151,1410.97,14982.6,11142,9836
300772.SZ,0.129655,-70.6785,8354.86,7271,7185
002473.SZ,-0.162685,74.6501,4012.7,4663.22,2836
002229.SZ,0.0891341,-168.704,2245.46,2040.2,5072
002409.SZ,0.150576,703.821,21054.6,17866.4,23494
002397.SZ,0.0633226,-49.7277,3917.64,3669.32,9460
002395.SZ,0.248847,-248.702,6949.88,5207.23,3523
300360.SZ,0.210182,-347.246,4738.06,3731.19,8643
300246.SZ,0.130355,-444.142,15761.3,13693,12498
